time_s,request_rate_rps,avg_service_time_ms,pool_size,p99_ms,cpu_usage_pct,heap_used_pct,queue_length,,,,
2218,750,311.6273616,64,544.8709058,66.44790316,38.96929577,143.9373524,,,,
2219,723,346.0697554,64,684.9275562,64.030207,36.15576462,153.1053702,,,,
2220,752,291.0773498,64,604.7508006,65.1170166,37.81683216,139.6764959,,,,
2221,693,306.6061285,72,656.1587991,62.59944041,36.76258777,132.2642957,,,,
2222,688,194.5980546,72,592.4146333,63.66580168,36.56105914,126.4469389,,,,
2223,715,265.5529729,72,616.6941065,64.00400561,36.48468481,127.951225,,,,
2224,728,343.9786422,72,581.5801768,61.60329337,36.87269473,117.9995272,,,,
2225,705,315.983728,72,591.4525814,62.92053401,37.31916103,131.7349733,,,,
2226,728,282.2410882,72,579.2237022,62.49364106,37.58502925,120.0340252,,,,
2227,671,211.2211199,72,594.2149137,63.12542343,37.43126562,116.2961269,,,,
2228,701,249.8433845,72,555.2221325,63.24962854,36.78296504,126.5952452,,,,
2229,671,354.6534171,72,608.1162491,60.99524749,37.40672874,129.36152,,,,
2230,663,299.8621876,72,579.4889589,63.42591785,37.23585946,117.5599165,,,,
2231,708,256.4279963,64,672.1703205,61.86533568,37.47352753,151.1831783,,,,
2232,643,290.6944567,64,537.8389784,64.29306379,35.4012326,146.5968274,,,,
2233,709,339.4472199,64,638.8747821,65.83436285,36.95104212,142.2021197,,,,
2234,695,342.8908608,64,643.9363251,63.36909969,35.5313598,141.7222062,,,,
2235,704,366.078887,64,627.3582846,63.02606844,36.69887281,144.6500428,,,,
2236,695,344.5872466,64,569.251853,63.05734504,36.35420226,145.2974044,,,,
2237,744,323.2058969,64,613.4278466,64.94707303,38.17180889,136.9251501,,,,
2238,684,328.6339727,64,675.1439506,62.25590516,36.44635884,148.3152432,,,,
2239,677,332.6942019,64,619.2548589,63.33180237,37.07574208,143.6718299,,,,
2240,735,370.5317414,64,652.02955,65.63949521,37.5235535,140.6442299,,,,
2241,644,383.4134245,70,631.9546994,63.37679214,37.78769848,136.6858921,,,,
2242,678,273.9937443,70,636.3995971,62.78105325,37.18157211,130.8158856,,,,
2243,709,288.9945248,70,641.2513293,64.10676292,36.93028153,128.9828528,,,,
2244,686,382.6951536,70,669.6872217,64.17916312,38.06550895,116.1992033,,,,
2245,687,281.2000416,70,649.1838373,62.0928627,36.29790336,131.5736195,,,,
2246,739,322.3618533,70,533.0252886,64.55162205,37.11181974,127.8006128,,,,
2247,739,203.3712645,70,592.3330664,62.82430512,38.79083356,131.2368267,,,,
2248,712,181.5018628,70,610.8007621,66.36563993,37.07810375,131.0141576,,,,
2249,698,298.4947321,70,654.8438987,61.23205273,37.94425505,126.8405484,,,,
2250,648,376.6013356,70,652.3966958,63.30738723,37.09708956,125.2795524,,,,
2251,1083,289.2904923,74,344.5264394,75.12870835,37.28183054,120.140569,,,,
2252,1096,325.1989324,74,363.3155074,72.84615981,36.52816969,112.0665417,,,,
2253,1056,281.8666608,74,365.4916178,72.85075008,37.2269606,98.66025632,,,,
2254,1114,289.7258495,74,323.4070524,72.40331471,37.08382119,91.3342502,,,,
2255,1087,286.2611256,74,322.8532635,74.61426155,36.44668819,88.34848903,,,,
2256,1056,328.9957146,74,303.2244118,72.33225983,36.77692781,90.87823934,,,,
2257,1121,393.4958348,74,320.0206882,74.8917026,37.14712523,90.66382621,,,,
2258,1137,264.1510788,74,303.1158108,71.63484424,36.83301032,88.41855563,,,,
2259,1065,325.7553147,74,311.1859327,73.87621569,38.15757591,97.02411945,,,,
2260,1067,257.9528344,74,318.3514763,74.17785377,36.84717063,87.60784097,,,,
2261,1100,307.1621623,66,378.5987153,73.38276325,37.69694717,115.0684375,,,,
2262,1115,365.2230118,66,393.632492,75.64913183,36.20880371,115.4379518,,,,
2263,1149,291.0489091,66,342.1264855,75.58837475,36.65255878,123.1573318,,,,
